Capteur Luminosite,Capteur Sonore,Capteur Vibration,Capteur Monoxyde de carbone,Capteur Temperature,Date,
1018,790,175,84,23, 21:18:02 26/04/2018
1018,789,156,80,23, 21:18:16 26/04/2018
1018,790,166,80,23, 21:18:30 26/04/2018
1018,789,196,79,23, 21:18:44 26/04/2018
1019,790,251,78,23, 21:18:58 26/04/2018
1019,793,246,79,23, 21:19:12 26/04/2018
874,789,169,105,23, 21:19:26 26/04/2018
1017,791,181,72,23, 21:19:40 26/04/2018
1018,790,211,86,23, 21:19:54 26/04/2018
1019,789,268,81,23, 21:20:08 26/04/2018
1018,789,204,79,23, 21:20:22 26/04/2018
1019,790,272,83,23, 21:20:36 26/04/2018
1016,790,241,80,23, 21:20:50 26/04/2018
1018,789,197,79,23, 21:21:04 26/04/2018
1018,789,204,79,23, 21:21:18 26/04/2018
1019,789,243,77,23, 21:21:32 26/04/2018
1019,790,292,76,23, 21:21:46 26/04/2018
1019,790,327,77,23, 21:22:00 26/04/2018
1019,790,266,78,23, 21:22:14 26/04/2018
1016,790,255,78,23, 21:22:28 26/04/2018
1021,790,280,78,23, 21:22:42 26/04/2018
1019,790,247,78,23, 21:22:56 26/04/2018
1016,790,289,79,23, 21:23:10 26/04/2018
1019,790,340,79,23, 21:23:24 26/04/2018
1019,790,345,76,23, 21:23:38 26/04/2018
1019,790,319,78,23, 21:23:52 26/04/2018
1019,790,273,78,23, 21:24:06 26/04/2018
1018,790,253,77,23, 21:24:20 26/04/2018
1019,790,252,75,23, 21:24:34 26/04/2018
1019,790,263,75,23, 21:24:48 26/04/2018
1019,790,250,75,23, 21:25:02 26/04/2018
1019,790,231,76,23, 21:25:16 26/04/2018
1019,790,252,74,23, 21:25:30 26/04/2018
1019,791,229,78,23, 21:25:44 26/04/2018
1019,791,359,78,23, 21:25:58 26/04/2018
1019,790,347,75,23, 21:26:12 26/04/2018
1018,790,348,77,23, 21:26:26 26/04/2018
1019,790,326,76,23, 21:26:40 26/04/2018
1019,790,309,75,23, 21:26:54 26/04/2018
1019,790,294,77,23, 21:27:08 26/04/2018
1019,790,269,75,23, 21:27:22 26/04/2018
1019,790,281,76,23, 21:27:36 26/04/2018
1019,790,275,75,23, 21:27:50 26/04/2018
1019,791,270,76,23, 21:28:04 26/04/2018
1019,790,271,76,23, 21:28:18 26/04/2018
1019,790,278,76,23, 21:28:32 26/04/2018
1019,790,297,77,23, 21:28:46 26/04/2018
1019,790,282,75,23, 21:29:00 26/04/2018
1019,790,295,107,23, 21:29:14 26/04/2018
1019,790,339,91,23, 21:29:28 26/04/2018
1019,790,323,81,23, 21:29:42 26/04/2018
1019,790,334,79,23, 21:29:56 26/04/2018
1019,790,356,78,23, 21:30:10 26/04/2018
1019,790,331,77,23, 21:30:24 26/04/2018
1019,791,276,77,23, 21:30:38 26/04/2018
1019,790,262,77,23, 21:30:52 26/04/2018
1019,790,345,75,23, 21:31:06 26/04/2018
1019,790,346,77,23, 21:31:20 26/04/2018
1018,790,350,78,23, 21:31:34 26/04/2018
1019,791,331,78,23, 21:31:48 26/04/2018
1019,790,301,75,23, 21:32:02 26/04/2018
1019,791,284,76,23, 21:32:16 26/04/2018
1019,791,309,77,23, 21:32:30 26/04/2018
1019,792,318,77,23, 21:32:44 26/04/2018
1019,791,343,75,23, 21:32:58 26/04/2018
1019,791,324,75,23, 21:33:12 26/04/2018
1019,790,355,76,23, 21:33:26 26/04/2018
1018,791,345,76,23, 21:33:40 26/04/2018
1019,788,268,75,23, 21:33:54 26/04/2018
1019,790,258,75,23, 21:34:08 26/04/2018
1019,791,253,75,23, 21:34:22 26/04/2018
1018,790,225,75,23, 21:34:36 26/04/2018
1018,790,252,75,23, 21:34:50 26/04/2018
1018,790,252,76,23, 21:35:04 26/04/2018
1018,791,271,75,23, 21:35:18 26/04/2018
1018,791,293,75,23, 21:35:32 26/04/2018
1018,791,319,75,23, 21:35:46 26/04/2018
1019,790,346,76,23, 21:36:00 26/04/2018
